Date (UTC+11:00),Token,Type,Price (USD),Amount,Total value (USD),Fee,Fee Currency,Notes
"2026-04-01 09:35:00","syrupUSDC","buy","1.1578","1,012.39","1,172.15","--","",""
"2026-04-01 09:35:00","USDC","transferOut","--","1,172.16","--","--","",""
"2026-04-01 09:30:00","USDC","transferIn","--","999.38","--","--","",""
"2026-04-01 09:30:00","USDT","transferOut","--","1,000.02","--","--","",""
"2026-03-30 13:45:00","USDC","buy","1.0000","172.78","172.78","--","",""
"2026-03-30 11:45:00","USDC","buy","1.0000","200.22","200.22","--","",""
"2026-03-30 11:00:00","SOL","buy","82.47","1.2164","100.32","--","","okx"
"2026-03-30 11:00:00","ETH","buy","2,056.56","0.2499","514.06","--","","okx"
"2026-03-30 11:00:00","USDC","buy","1.0000","500.68","500.68","--","","okx"
"2026-03-30 11:00:00","OKB","buy","83.26","6.1405","511.25","--","",""
"2026-03-30 11:00:00","USDT","buy","1.0000","589.06","589.06","--","","okx"
"2026-03-30 11:00:00","BTC","buy","67,994.72","0.01155","785.42","--","",""
"2026-03-30 11:00:00","USD1","buy","1.0000","941.69","941.69","--","","rollbit bot1"
"2026-03-30 11:00:00","USDT","buy","1.0000","201.00","201.00","--","","bybit"
"2026-03-30 11:00:00","USDT","buy","1.0000","1,000.23","1,000.23","--","",""
"2026-03-30 11:00:00","syrupUSDC","buy","1.1572","3,888.86","4,500.00","--","",""
"2026-03-27 11:00:00","SOL","buy","86.06","5.8099","500.00","--","","okx"
